,sentiment,review,context
0,positiva,swype model will crack model,tech
1,positiva,will ad carrier suppo model model announc ,tech
2,positiva,hilari video guy a duet s system pretti sum love affair url,tech
3,positiva,easi switch model ya,tech
4,positiva,realiz reason compani system5,tech
5,positiva, m a current user bit disappoint move,tech
6,positiva,16 strangest thing system sooo glad system a sen humor url,tech
7,positiva,great close person event tonight regent st store,tech
8,positiva,compani experi best custom servic,tech
9,positiva,appli a job hope call lol,tech
10,positiva,lmao magic die haha system suggest find whore,tech
11,positiva,lmao magic die haha system suggest find whore hide a bodi lolol,tech
12,positiva,regist develop s hope help great appreci,tech
13,positiva,wow great deal refurb model gen model compani offer great deal refurbish 1st gen model url,tech
14,positiva,regist develop s hope help great appreci,tech
15,positiva, current learn mandarin upcom trip hong kong ta hand model uber flashcard app ,tech
16,positiva,dark side hey send a free model will public ceremoni burn blackberri ,tech
17,positiva,hey send a free model version will will public ceremoni burn blackberri,tech
18,positiva,find mac locat wipe stolen air smallvictori thievingbastard,tech
19,positiva,covent garden geniusbar replac model keyboardcrack wristpad lunch break today warranti,tech
20,positiva,,tech
21,positiva,model replac bound playbook nfl team url,tech
22,positiva,model,tech
23,positiva,eff amaz,tech
24,positiva,amaz system 5 featur url,tech
25,positiva, re a featur educ app websit today sweet url,tech
26,positiva, re a featur educ app websit today sweet url,tech
27,positiva,unexpect workshop modelmodel yesterday awesom amount info notjustaboutthephon,tech
28,positiva, lt 3 system5,tech
29,positiva, question bro dis model a evo 3d,tech
30,positiva, m peopl bitch modelmodel s smaest phone ve m happi ,tech
31,positiva, m peopl bitch modelmodel s smaest phone ve m happi happi,tech
32,positiva,ceo point corpor mentor signup tripl url,tech
33,positiva,bus model thxx,tech
34,positiva,appstor well system mobil devic talk desktop app,tech
35,positiva,nytim coach bring model url model set red 42 red 42 hut hut model,tech
36,positiva,compani sell 4 model model unit weekend businessperson businessperson brillianc live model rva,tech
37,positiva, titan run model life raft wo n t,tech
38,positiva,apolog ,tech
39,positiva,download system 5 prove popular user url,tech
40,positiva,incred 4 model model 3 day 135 better model 4 url modelmodel,tech
41,positiva,save hp s unwant o help buy model light lol url backchannel,tech
42,positiva,well fix system5 batteri drain problem a replac model 4 s work a champ,tech
43,positiva,current order a brand model pro bahhh model 5 year ll s time cc ,tech
44,positiva,bless,tech
45,positiva, system dad mom brother girlfriend,tech
46,positiva,well store amaz call wait music needmodel,tech
47,positiva, sweet compani replac glass probono,tech
48,positiva,bad sell 4 model debut weekend bloomberg url smaphon sm,tech
49,positiva,love technolog model model mac air system unreal technolog,tech
50,positiva, m love system5 updat happi,tech
51,positiva,mention compani store url great custom servic store,tech
52,positiva,time model model forward stick man longer pay text,tech
53,positiva,hey hate comput a mack wan send a free,tech
54,positiva,gf modelmodel great,tech
55,positiva, system set flawless work a champ cloud,tech
56,positiva, d total email compani great servic store,tech
57,positiva,love system5 upgrad model,tech
58,positiva,nice tech suppo guy fix itouch d,tech
59,positiva,great custom servic store millenia mall,tech
60,positiva, system5 faster model,tech
61,positiva,love imac n t hubbi 3 day geek,tech
62,positiva,make switch model modelmodel smaphon businessperson compani store url,tech
63,positiva,thank incred peopl go offer replac water damag model pro wow,tech
64,positiva,model sick,tech
65,positiva,play ma man love camera modelmodel well fb url,tech
66,positiva,yeah system5 readinglist chang life nowicanspendevenmoretimeonmyphon,tech
67,positiva,safari reader own worldwid web,tech
68,positiva,love servic case crack 3x hand a case walk,tech
69,positiva, 10companypeopleiwouldliketomeet 2 ,tech
70,positiva,laid 4 year model 2012 modelmodel model 4g5 2012 magic url,tech
71,positiva,kind excit class go store buy macosc snow leopard lion ,tech
72,positiva,4 5yr disrupt lost gig thx servic move model,tech
73,positiva,compani sell 4 model 3 day well url,tech
74,positiva,yes m lovin model updat slide bar top screen good job,tech
75,positiva,4 million a weekend 16 modelmodel second mad ,tech
76,positiva, m invest model pro year time sell system gear,tech
77,positiva,,tech
78,positiva,grandma a post card cardsapp,tech
79,positiva,put wash kind equival will blend glad hear s aliv,tech
80,positiva,launder ari s model finest moment dri bag organ rice 4 day boot,tech
81,positiva,bravo url,tech
82,positiva,god bless companytv bad as system love princessofchina gb happi,tech
83,positiva,compani a day smash model nice a happi,tech
84,positiva,system 5 email pop lock screen open unlock,tech
85,positiva,word wow model model weekend sale top url ,tech
86,positiva,good model will well today god,tech
87,positiva,love system5 easter egg pull middl top bottom pull awesom featur system5,tech
