sentiment,review,context
positiva,"Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is",tech
positiva,"@Apple will be adding more carrier support to the iPhone 4S (just announced)",tech
positiva,"Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY",tech
positiva,"@RIM you made it too easy for me to switch to @Apple iPhone. See ya!",tech
positiva,"I just realized that the reason I got into twitter was ios5 thanks @apple",tech
positiva,"I'm a current @Blackberry user, little bit disappointed with it! Should I move to @Android or @Apple @iphone",tech
positiva,"The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace",tech
positiva,"Great up close & personal event @Apple tonight in Regent St store!",tech
positiva,"From which companies do you experience the best customer service aside from @zappos and @apple?",tech
positiva,"Just apply for a job at @Apple, hope they call me lol",tech
positiva,"RT @JamaicanIdler: Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to h ...",tech
positiva,"Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol",tech
positiva,"RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!",tech
positiva,"Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple",tech
positiva,"Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!",tech
positiva,"你好 ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps  ",tech
positiva,"Come to the dark side 📱“@gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.”",tech
positiva,"Hey @apple, if you send me a free iPhone (any version will do), I will publicly and ceremoniously burn my #BlackBerry.",tech
positiva,"Thank you @apple for Find My Mac - just located and wiped my stolen Air. #smallvictory #thievingbastards",tech
positiva,"Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty.",tech
positiva,"@DailyDealChat @apple Thanks!!",tech
positiva,"iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes",tech
positiva,"@apple..good ipad",tech
positiva,"@apple @siri is efffing amazing!!",tech
positiva,"Amazing new @Apple iOs 5 feature.  http://t.co/jatFVfpM",tech
positiva,"RT @TripLingo: We're one of a few Featured Education Apps on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z",tech
positiva,"We're one of a few Featured Education Apps on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z",tech
positiva,"We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16",tech
positiva,"&lt;3 #ios5 @apple",tech
positiva,"---» RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?",tech
positiva,"RT @imightbewrong: I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   : ...",tech
positiva,"I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   :)  Way to go @Apple!",tech
positiva,"@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN",tech
positiva,"At the bus with my iPhone ;) thxx @apple",tech
positiva,"@azee1v1 @apple @umber AppStore is well done, so is iTunes on the mobile devices.  I was talking about desktop app.",tech
positiva,"NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad",tech
positiva,"@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA",tech
