sentiment,review,context
positiva,"swype model will crack model",tech
positiva,"will ad carrier suppo model model announc",tech
positiva,"hilari video guy a duet s system pretti sum love affair url",tech
positiva,"easi switch model ya",tech
positiva,"realiz reason compani system5",tech
positiva,"m a current user bit disappoint move",tech
positiva,"16 strangest thing system sooo glad system a sen humor url",tech
positiva,"great close person event tonight regent st store",tech
positiva,"compani experi best custom servic",tech
positiva,"appli a job hope call lol",tech
positiva,"lmao magic die haha system suggest find whore",tech
positiva,"lmao magic die haha system suggest find whore hide a bodi lolol",tech
positiva,"regist develop s hope help great appreci",tech
positiva,"wow great deal refurb model gen model compani offer great deal refurbish 1st gen model url",tech
positiva,"regist develop s hope help great appreci",tech
positiva,"current learn mandarin upcom trip hong kong ta hand model uber flashcard app",tech
positiva,"dark side hey send a free model will public ceremoni burn blackberri",tech
positiva,"hey send a free model version will will public ceremoni burn blackberri",tech
positiva,"find mac locat wipe stolen air smallvictori thievingbastard",tech
positiva,"covent garden geniusbar replac model keyboardcrack wristpad lunch break today warranti",tech
positiva,"follow",tech
positiva,"model replac bound playbook nfl team url",tech
positiva,"model",tech
positiva,"eff amaz",tech
positiva,"amaz system 5 featur url",tech
positiva,"re a featur educ app websit today sweet url",tech
positiva,"re a featur educ app websit today sweet url",tech
positiva,"unexpect workshop modelmodel yesterday awesom amount info notjustaboutthephon",tech
positiva,"lt 3 system5",tech
positiva,"question bro dis model a evo 3d",tech
positiva,"m peopl bitch modelmodel s smaest phone ve m happi",tech
positiva,"m peopl bitch modelmodel s smaest phone ve m happi happi",tech
positiva,"ceo point corpor mentor signup tripl url",tech
positiva,"bus model thxx",tech
positiva,"appstor well system mobil devic talk desktop app",tech
positiva,"nytim coach bring model url model set red 42 red 42 hut hut model",tech
positiva,"compani sell 4 model model unit weekend businessperson businessperson brillianc live model rva",tech
positiva,"titan run model life raft wo n t",tech
positiva,"apolog",tech
positiva,"download system 5 prove popular user url",tech
positiva,"incred 4 model model 3 day 135 better model 4 url modelmodel",tech
positiva,"save hp s unwant o help buy model light lol url backchannel",tech
positiva,"well fix system5 batteri drain problem a replac model 4 s work a champ",tech
positiva,"current order a brand model pro bahhh model 5 year ll s time cc",tech
positiva,"bless",tech
positiva,"system dad mom brother girlfriend",tech
positiva,"well store amaz call wait music needmodel",tech
positiva,"sweet compani replac glass probono",tech
positiva,"bad sell 4 model debut weekend bloomberg url smaphon sm",tech
positiva,"love technolog model model mac air system unreal technolog",tech
negativa,"mb cap sm updat 25mb storag tell inbox full",tech
negativa,"model r 2 expens w htcmodel custom loyalti wphone comp",tech
negativa,"model r 2 expens w htcmodel custom loyalti wphone comp",tech
negativa,"will kill compani url rip",tech
negativa,"tune model model lone silli system5",tech
negativa,"hurri releas systemmatch",tech
negativa,"system",tech
negativa,"exchang a cord compani store wait a genius",tech
negativa,"airdrop fail declin request time",tech
negativa,"good aicl fuck lion futur url fb",tech
negativa,"yellowg model model user complain yellow tint screen url",tech
negativa,"yellowg model model user complain yellow tint screen url",tech
negativa,"model featur miss it contact pictur contact list simpl 5 major updat",tech
negativa,"ask system dream electr sleep disappoint n t a snippi answer miss oppoun",tech
negativa,"surpris throw error ale author s author comput button",tech
negativa,"shhhh evil sith lord hear ha",tech
negativa,"fuck die a fuck blaze inferno",tech
negativa,"businessperson iphoto s perfect opposit insan great fix",tech
negativa,"omg fuck delet music dick",tech
negativa,"system store gt authoris n t auto authoris sign system grrrr",tech
negativa,"serious absolut of clue author",tech
negativa,"boy harder purchas music cloud model pro author comput",tech
negativa,"shit shit shit system5 updat ate app data medium go time rebuild",tech
negativa,"youcannot n t 1 64gb model model la vega a fuck break",tech
negativa,"love download 4 hour i pad wonki ripbusinessperson thenonsensepersist neednewmodelguid fatfuckingch",tech
negativa,"dear air a notbook updat kill wifi bug destroy product",tech
negativa,"s profit lack custom servic fuck",tech
negativa,"great send phone frustrat",tech
negativa,"ruin 3gs system5 ve turn phone utter useless pile shit",tech
negativa,"option a replac model model sure 2 duff model",tech
negativa,"mb cap sm updat 25mb storag tell inbox full 2001",tech
negativa,"s a week paid system match eta a",tech
negativa,"remov shit",tech
negativa,"s model 4 a hella hard time w system5 updat",tech
negativa,"suck hello interest note droid razr s batteri n t remov",tech
negativa,"n t send model preorder 1hr launch can send 5 10 jackass shoot blend em",tech
negativa,"ta itouch model shuffl etc sound qualiti aw pain crap a downgrad sound qualiti wise",tech
negativa,"upgrad slow phone s stuck half time uch thank damag suck",tech
negativa,"n t a thorough job step step upgrad move system s cost mightili",tech
negativa,"hey system5 model n t includ song compil album aist s whaddupwitdat",tech
negativa,"send rcve txts apt 4pmthen exclaim wait a year phone lmao",tech
negativa,"total chao store regent street ethiopian feed station n t co cool shit",tech
negativa,"a purchas wait survey hate go bc bad custserv",tech
negativa,"correct best buy kudo chris alamo ranch sa tx fix issu n t resolv 12 day w hero day",tech
negativa,"s ppl stand hr newest model sucker",tech
negativa,"kill a braill type bump earbud bud r dark",tech
negativa,"wow crush dream",tech
negativa,"fuck gt model 5 schedul summer launch url",tech
negativa,"fuck gt model 5 schedul summer launch url",tech
negativa,"wo n t wait thursday appoint a genius m shit luck",tech
neutra,"watch folk a jihad adob flash plse consid a medium link futur ur site",tech
neutra,"a record quaer a bunch profession guesser aka analyst want a disappointmen",tech
neutra,"hey system releas brand state a phone when phone s cont url",tech
neutra,"a record quaer a bunch profession guesser aka analyst want a disappoint wtf",tech
neutra,"fun n t integr name notif",tech
