sentiment,review,context
positiva,"histori stori hate",politics
positiva," name use test okay ahdjshsj m test name neutral make comfoabl",politics
positiva,"read vinncent",politics
positiva,"resist ",politics
positiva,"sun pool tomorrow sun sun tomorrow fuck day d",politics
positiva,"let s valhalla festiv friend",politics
positiva,"mine cross",politics
positiva,"jon foreman save p",politics
positiva,"ta bonito",politics
positiva,"design shis d",politics
positiva,"affect hea warm better ani pain health joy away god bless long life happyjiminday jiminourserendipityday",politics
positiva," m glad consid myself child",politics
positiva,"3 year old lose weight eat thank chang head lost 11kg le 1 month",politics
positiva,"leonzinho p",politics
positiva,"give zerin chat bgs tomorrow where find pictur ",politics
positiva,"thank s young knew thank",politics
positiva,"gay kit n t distribut school except neither name itself gay kit anti homophobia kit ban dilma 2011 due complaint parent n t talk ideolog ",politics
positiva,"thank m visit friend m consult knee superfici injuri n t",politics
positiva,"won pair ticket abraxa fest 2018 congratul m write email ok ",politics
positiva,"game ",politics
positiva,"hahauh docil joke must amaz memori congratul where get where ",politics
positiva,"ah s back energi put them ",politics
positiva,"nice ju cheer d",politics
positiva,"well capit suppo myself",politics
positiva,"hey program won ",politics
positiva,"year excus miss pay q",politics
positiva,"said dream follow them m follow kkkkkk",politics
positiva,"n t ester tigresa s hard which",politics
positiva,"talk",politics
positiva,"came back feel well deactiv account ",politics
positiva,"viva nossa mae aparecida lt 3 fisherman joao alv withdrew water paraiba sul river broken imag nossa senhora immaculada conceicao 1717 ceain idea event transform histori ",politics
positiva,"dominic afternoon put trailer film mention",politics
positiva,"corrupt yes pretend",politics
positiva,"oop sad match whi someon suppo guy spoken open suppo dictatorship chanc return q",politics
positiva,"congratul p",politics
positiva,"charg instnowam yesterday ",politics
positiva,"lesson have child cool",politics
positiva,"follo",politics
positiva,"photograph malta aveiro",politics
positiva,"detox refer seri ta take spoiler noth p",politics
positiva,"anoth bullshit collect",politics
positiva,"retir said piquei cellular 50 piec night cellllll friend hug",politics
positiva," day 11 12 inktub d crow moon",politics
positiva,"sense8",politics
positiva," m wait propos d",politics
positiva,"presid s speech talk daughter laura whoever girl s father know president17",politics
positiva,"thank",politics
positiva,"friend q help obg unarchiv photo guy awesom ",politics
positiva,"test remix request greek label maniana record sax huh fine music come wait listen face stori insta t co nnqipxrgkb",politics
positiva,"few day write aicl final readi cur internet",politics
positiva,"fuck poh",politics
positiva,"success",politics
positiva," s right speech same iron caption",politics
positiva,"strang m smile n t whi right d",politics
positiva,"luca thank lucca met least year ago weight statement life p",politics
positiva,"luck",politics
positiva,"1 3 year old omgg n t rememb 2 daycar tbm 3 shei 4 410 5 noddi pillow same 6 n t rememb ani tbm 7 noth",politics
positiva,"thank ",politics
positiva,"8th person",politics
positiva," m stupid ahh",politics
positiva,"congratul bb year been conquer joy cute especi wonder talent may wonder abl improv soon pain jimin happyjiminday",politics
positiva,"cc n t gone anymor ask",politics
positiva,"prgnts p",politics
positiva,"reaction analysi m edit s get pretti come later d",politics
positiva,"card boleto viual love ",politics
positiva,"follo",politics
positiva,"eae let s where ft",politics
positiva," m pay graduat alon dad came desktop comput 2 notebook each m",politics
positiva,"mother graduat cours prais ",politics
positiva,"thank guy m embarrass m late see guy post motiv tb warm hea",politics
positiva,"record podcast 1h extract tooth 3 stitch mouth almost could n t speak activ abl record well d hahahaiuh",politics
positiva,"enjoy holiday come honor show wait d 381ano ubatuba cadadiamelhor",politics
positiva,"sleep until knew mm well",politics
positiva,"fell asleep lens nowher put them took them off feel them glu",politics
positiva,"n t",politics
positiva," re welcom ",politics
positiva,"happi come back work monday ",politics
positiva,"test remix request greek label maniana record sax huh fine music come wait listen face insta stori t co lkgt3zbu0b",politics
positiva,"pat3icia_ fox pougal sta broadcast ah season last monday",politics
positiva,"problem bro problem d",politics
positiva,"shi p",politics
positiva,"thank angel thank give dream thank form unit thank nca yebin woohe suji zn yoonjo hyunjoo jiwon euijin end begin god will thank_you_unit",politics
positiva,"like someon initi name m",politics
positiva,"oh save money quick tattoo",politics
positiva,"attent photograph ",politics
positiva,"3rd better p",politics
positiva,"hello girl yes one motiv inspir u",politics
positiva,"dm ",politics
positiva,"yes famili ",politics
positiva,"barbara sister anywher n t everyon father doe n t",politics
positiva,"ah thank sometim doodl inspir come d",politics
positiva,"arriv home 2h work again",politics
positiva," m julia ",politics
positiva," re welcom",politics
positiva,"share summari 1st week synod bishop youth made lisbon youth servic paicip toma viuoso young pougues attend pre synod march year tcoqhmrj4hepr",politics
positiva,"clear kkkkkkkkkk",politics
positiva,"seem sala vip remov site easier watch teresina shop ",politics
positiva," s fun fact dread everi record p everi dread",politics
positiva,"mayb ll n t rememb ll abl read anyway p m english speaker girl",politics
positiva,"let s shut again bag spew fake news s noth public safeti page 31 33 33 re welcom ah send fake news deconstruct direct sourc pla",politics
positiva,"thank help",politics
positiva,"well s whi like number number",politics
positiva," m bgs stop bihday love happyjiminday",politics
positiva,"oh yes huh congratul must been fantast fulfil childhood dream d aparecida recent time been often stroll ",politics
positiva,"old man taught enjoy work d",politics
positiva,"true wrote cute child s ",politics
positiva,"improv way improv ",politics
positiva,"child s gift ok",politics
positiva,"de nada ",politics
positiva,"yes d",politics
positiva,"begin program elector guid haddad13 went show",politics
positiva,"hi sorri bother app ",politics
positiva,"brighten line 1 word congratul dear paner lot health peac joy fun game divis turkish championship hahah enjoy ",politics
positiva,"bayern",politics
positiva,"cool imit emot show languag finger p which emoticon ",politics
positiva,"right sorri rude some point post real impact s live woman attack fascist follow ideolog kill million day",politics
positiva,"run nail",politics
positiva,"some colleagu deprogram meetup child etc said difficult night dure week saturday cool could paicip",politics
positiva,"understand over 10 year",politics
positiva,"victorialima m mix sleep anim which make dizzi kkkkkkk",politics
positiva,"popcorn narrat narrat live",politics
positiva,"went citi right",politics
positiva,"hello m call person world aka",politics
positiva,"night morn",politics
positiva,"child s gift",politics
positiva,"soon",politics
positiva,"yeah shout",politics
positiva,"n t well seem nice re cute ",politics
positiva,"camiie_k",politics
positiva,"afternoon ",politics
positiva,"tomorrow registri offic ",politics
positiva," m leav tt see post someth jimin get down d",politics
positiva,"know ",politics
positiva,"follo",politics
positiva," s man sing metro god fli",politics
positiva,"serious thank explain",politics
positiva,"last found droplet walnut india sta nq da anyon heard use tell plea ll tell work cmg controlana",politics
positiva,"mx place m show anxieti comeback univers shudhsudhhud goe until 20th sure boy mbbs",politics
positiva,"watch ",politics
positiva,"way better aicl sesc ipi",politics
positiva,"instructor upset call ana rita ",politics
positiva,"founat learn shit other s disgust childish attitud move p",politics
positiva,"follo",politics
positiva,"visit center mirant ed banespa",politics
positiva,"valu skill huh fine",politics
positiva,"poa far uberlandia direct flight believ next one",politics
positiva,"suggest instead highlight unfoun nerdcast head could highlight histori greater volum program relev topic o00y5bf8eh",politics
positiva,"sleep imagin ",politics
positiva,"afternoon child s babi",politics
positiva,"child s special year child love sit front game friend lanhous child s friend custom child s u etern child d",politics
positiva,"forgiv excess guga chacra",politics
positiva,"guy",politics
positiva,"ca n t must free copi whatev",politics
positiva,"child s gift got last week n t introduc friend rey bb8 met them comic con diadascrianca starwar nycc2018 bless 1pf3ts6y24",politics
positiva,"n t find let ",politics
positiva,"well n t spawn left middl doe n t into favela",politics
positiva,"thank educ dialogu grow togeth fact someth think ask holiday ",politics
positiva,"feedback well receiv",politics
positiva,"come back",politics
positiva,"lula send repres whi ca n t presid d",politics
positiva,"hahahahahhahaha vlw d",politics
positiva,"holiday anxieti feel suffoc throat",politics
positiva,"bodili accept fall apa p",politics
positiva,"got mew celebi ",politics
positiva," m pray dear right strong believ forc",politics
positiva,"ohhh ty n noth wrong knee paner q disloc knee normal scene life",politics
positiva,"said jessica friend longer prove said then believ",politics
positiva,"end use other photo anyway tell registr aist s alley open interest ",politics
positiva,"quick use ",politics
positiva,"went then goe",politics
positiva," s",politics
positiva," love thank do",politics
positiva,"alma protest et",politics
positiva,"work compani doesn t stop u holiday least m 100 woh",politics
positiva,"made stroganoff s chicken",politics
positiva,"child s ",politics
positiva,"n t turn site end end ahahaha thank m subscrib over net ",politics
positiva,"wonder person attract wonder",politics
positiva,"readi ",politics
positiva,"n t understand comment ",politics
positiva,"prohibit use team",politics
positiva,"made mind",politics
positiva,"woke dad make wonder lunch know far well then let lunch dish your dad end joy",politics
positiva," 3 consecut year get skin ban ",politics
positiva,"famili rent place yesterday sunday m m work ",politics
positiva,"way cxd special child s ",politics
positiva,"expo realiz friend",politics
positiva," m watch episod ah apocalyps lunch",politics
positiva," ll soon ",politics
positiva,"follo",politics
positiva,"stay alon home make lunch hate",politics
positiva,"follo",politics
positiva,"15 year old kkkkkkkkkkkkk m track abl join guy",politics
positiva,"cute right",politics
positiva,"hater nct came cradl gold privileg big3 mark lee send real my van wrong sm idol difficult compromis may weaker expect morn ",politics
positiva,"ah ",politics
positiva," m pack bag",politics
positiva,"smile infect d",politics
positiva,"bah ",politics
positiva,"focus trip",politics
positiva,"differ moment forev",politics
positiva,"other gave kiss could n t beatriz saw shit",politics
positiva,"both",politics
positiva," s great seem",politics
positiva,"speak word friend n t speak tell them fuck themselv",politics
positiva,"oooo canada p",politics
positiva,"ambul metamorphosi d",politics
positiva,"come combo expens use m regret won t pay plea wait asap solut ",politics
positiva,"nice guy 5 star lazi cool guess s clich rich",politics
positiva,"yes flamengo",politics
positiva,"love ep nao nega gent song hot fix hous well holiday ep",politics
positiva,"15",politics
positiva,"moment person see doe n t answer cut off relationship",politics
positiva,"mine uninstal game instal again then goe back normal",politics
positiva," s hand",politics
positiva," m full jimin s video swear last happyjiminday credit ",politics
positiva,"hair look",politics
positiva,"follo",politics
positiva,"someon bb ",politics
positiva,"congratul won scrotum award ahead frota arrest pay pension",politics
positiva,"follo",politics
positiva,"puu pa puu memor happyjiminday",politics
positiva,"congratul won scrotum award ahead frota arrest pay pension",politics
positiva,"die",politics
positiva,"soza min soze heyran li bend ",politics
positiva,"won mani way need cm ",politics
positiva,"like dancar break sequencia basica ",politics
positiva,"arriv ",politics
positiva,"better ",politics
positiva,"ahahha tadinha ",politics
positiva,"babi plea follow send diy dm heheh",politics
positiva,"elenao coup fascism nazism wave fanfic elect presid",politics
positiva,"brigada lt 3 let eat right yes crazi fruit ate cereal n t eat anyth give troubl m lazi eat simpl thing",politics
positiva,"follo",politics
positiva,"uncl gave 50 reai ",politics
positiva,"precis place batman s alley",politics
positiva," ll put",politics
positiva,"whi queue train ticket offic evora ",politics
positiva,"one princess soon model girl ring ",politics
positiva,"hey guy anoth post blog came then ever wit unusu moment wed check one ve seen feel free tell stori d",politics
positiva," t co jct2e5mfbi fake news again sincer doubt kkkk ",politics
positiva,"child s ",politics
positiva,"ok respect respect mine",politics
positiva,"realiz rubbish make differ talk n t pay attent s okay d",politics
positiva,"cri problem genet saw mamma mia 2 5th mother both cri",politics
