sentiment,review,context
positiva,will watch supernatur niahahahahaaa awesom,tech
positiva,breakfast stomach growl,tech
negativa,a dream night downgrad model a model spent rest dream figur shame ,tech
negativa,hate microphon shit system fuck ,tech
neutra,ceo time cook a uniqu honor state alabama url,tech
neutra,model 6 ,tech
positiva,second flight bump 1st love,airline
positiva,great cabin flight crew morn 578 a great smile happi staff sign a happi compani,airline
negativa,sit plane airplan wait door open cater stock delay n t nicer,airline
negativa,worst custom servic airlin ve flown,airline
neutra, email share detail frank,airline
neutra,realiz luv voucher expir today chanc luv extens veryloyalcustom,airline
positiva,best day happi praia flamengo posto 2 url,politics
positiva,a ride kkkk happi,politics
negativa,mine suck day sad url,politics
negativa,sinh sad sta day a hate speech father s noheastern news death moa master desol ,politics
neutra,major voter decid vote month elect url,politics
neutra,8 adult obes obes day url,politics
